n,h,1 + h,f'(1.0) aprox.,|f'(1.0) - (f'(1.0) aprox)|
0,1.0,2.0,2.0179892252685967,1.4922905704008795
1,0.5,1.5,1.8704413979316472,1.639838397737829
2,0.25,1.25,1.1077870952342974,2.402492700435179
3,0.125,1.125,0.6232412792975817,2.8870385163718946
4,0.0625,1.0625,0.3704000662035192,3.139879729465957
5,0.03125,1.03125,0.24344307439754687,3.2668367212719294
6,0.015625,1.015625,0.18009756330732785,3.3301822323621484
7,0.0078125,1.0078125,0.1484913953710958,3.3617884002983804
8,0.00390625,1.00390625,0.1327091142805159,3.3775706813889603
9,0.001953125,1.001953125,0.1248236929407085,3.3854561027287677
10,0.0009765625,1.0009765625,0.12088247681106168,3.3893973188584146
11,0.00048828125,1.00048828125,0.11891225046883847,3.3913675452006378
12,0.000244140625,1.000244140625,0.11792723373901026,3.392352561930466
13,0.0001220703125,1.0001220703125,0.11743474961076572,3.3928450460587105
14,6.103515625e-5,1.00006103515625,0.11718851362093119,3.393091282048545
15,3.0517578125e-5,1.000030517578125,0.11706539714577957,3.3932143985236967
16,1.52587890625e-5,1.0000152587890625,0.11700383928837255,3.3932759563811037
17,7.62939453125e-6,1.0000076293945312,0.11697306045971345,3.393306735209763
18,3.814697265625e-6,1.0000038146972656,0.11695767106721178,3.3933221246022645
19,1.9073486328125e-6,1.0000019073486328,0.11694997636368498,3.3933298193057913
20,9.5367431640625e-7,1.0000009536743164,0.11694612901192158,3.3933336666575546
21,4.76837158203125e-7,1.0000004768371582,0.1169442052487284,3.393335590420748
22,2.384185791015625e-7,1.000000238418579,0.11694324295967817,3.393336552709798
23,1.1920928955078125e-7,1.0000001192092896,0.11694276239722967,3.3933370332722466
24,5.960464477539063e-8,1.0000000596046448,0.11694252118468285,3.3933372744847934
25,2.9802322387695312e-8,1.0000000298023224,0.116942398250103,3.3933373974193732
26,1.4901161193847656e-8,1.0000000149011612,0.11694233864545822,3.393337457024018
27,7.450580596923828e-9,1.0000000074505806,0.11694231629371643,3.39333747937576
28,3.725290298461914e-9,1.0000000037252903,0.11694228649139404,3.393337509178082
29,1.862645149230957e-9,1.0000000018626451,0.11694222688674927,3.393337568782727
30,9.313225746154785e-10,1.0000000009313226,0.11694216728210449,3.3933376283873717
31,4.656612873077393e-10,1.0000000004656613,0.11694216728210449,3.3933376283873717
32,2.3283064365386963e-10,1.0000000002328306,0.11694192886352539,3.393337866805951
33,1.1641532182693481e-10,1.0000000001164153,0.11694145202636719,3.393338343643109
34,5.820766091346741e-11,1.0000000000582077,0.11694145202636719,3.393338343643109
35,2.9103830456733704e-11,1.0000000000291038,0.11693954467773438,3.393340250991742
36,1.4551915228366852e-11,1.000000000014552,0.116943359375,3.3933364362944762
37,7.275957614183426e-12,1.000000000007276,0.1169281005859375,3.3933516950835387
38,3.637978807091713e-12,1.000000000003638,0.116943359375,3.3933364362944762
39,1.8189894035458565e-12,1.000000000001819,0.11688232421875,3.3933974714507262
40,9.094947017729282e-13,1.0000000000009095,0.1168212890625,3.3934585066069762
41,4.547473508864641e-13,1.0000000000004547,0.116943359375,3.3933364362944762
42,2.2737367544323206e-13,1.0000000000002274,0.11669921875,3.3935805769194762
43,1.1368683772161603e-13,1.0000000000001137,0.1162109375,3.3940688581694762
44,5.684341886080802e-14,1.0000000000000568,0.1171875,3.3930922956694762
45,2.842170943040401e-14,1.0000000000000284,0.11328125,3.3969985456694762
46,1.4210854715202004e-14,1.0000000000000142,0.109375,3.4009047956694762
47,7.105427357601002e-15,1.000000000000007,0.109375,3.4009047956694762
48,3.552713678800501e-15,1.0000000000000036,0.09375,3.4165297956694762
49,1.7763568394002505e-15,1.0000000000000018,0.125,3.3852797956694762
50,8.881784197001252e-16,1.0000000000000009,0.0,3.5102797956694762
51,4.440892098500626e-16,1.0000000000000004,0.0,3.5102797956694762
52,2.220446049250313e-16,1.0000000000000002,-0.5,4.010279795669476
53,1.1102230246251565e-16,1.0,0.0,3.5102797956694762
54,5.551115123125783e-17,1.0,0.0,3.5102797956694762
